ORARIO DI INIZIO: 13:53:36
------------------------------------------------------------
Client connecting to 10.0.0.201, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.11 port 51724 connected with 10.0.0.201 port 5001 (icwnd/mss/irtt=1/1448/5184000)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-2.0000 sec  84.9 KBytes   348 Kbits/sec
[  1] 2.0000-4.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 4.0000-6.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 6.0000-8.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 8.0000-10.0000 sec   128 KBytes   524 Kbits/sec
[  1] 10.0000-12.0000 sec  1.50 MBytes  6.29 Mbits/sec
[  1] 12.0000-14.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 14.0000-16.0000 sec  1.25 MBytes  5.24 Mbits/sec
[  1] 16.0000-18.0000 sec  1.25 MBytes  5.24 Mbits/sec
[  1] 18.0000-20.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 20.0000-22.0000 sec  1.12 MBytes  4.72 Mbits/sec
[  1] 22.0000-24.0000 sec  1.50 MBytes  6.29 Mbits/sec
[  1] 24.0000-26.0000 sec  1.25 MBytes  5.24 Mbits/sec
[  1] 26.0000-28.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 28.0000-30.0000 sec  1.12 MBytes  4.72 Mbits/sec
[  1] 30.0000-32.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 32.0000-34.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 34.0000-36.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 36.0000-38.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 38.0000-40.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 40.0000-42.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 42.0000-44.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 44.0000-46.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 46.0000-48.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 48.0000-50.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 50.0000-52.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 52.0000-54.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 54.0000-56.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 56.0000-58.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 58.0000-60.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 60.0000-62.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 62.0000-64.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 64.0000-66.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 66.0000-68.0000 sec   512 KBytes  2.10 Mbits/sec
[  1] 68.0000-70.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 70.0000-72.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 72.0000-74.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 74.0000-76.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 76.0000-78.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 78.0000-80.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 80.0000-82.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 82.0000-84.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 84.0000-86.0000 sec  1.12 MBytes  4.72 Mbits/sec
[  1] 86.0000-88.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 88.0000-90.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 90.0000-92.0000 sec   896 KBytes  3.67 Mbits/sec
